bismil بِسْمِ
maroddimm مَرَدٍّ
porfin طَرْفٍ
xofiyyiww خَفِيٍّ
EacAbimm عَذَابٍ
yaNSurUnahumm يَنْصُرُونَهُمْ
eistajIbU اسْتَجِيبُوا
lirobbikumm لِرَبِّكُمْ
maljaeiyy مَلْجَإٍ
nakIr نَكِيرٍ
HafIZon حَفِيظًا
fariHa فَرِحَ
yahabu يَهَبُ
wayahabu وَيَهَبُ
yaXAAeuc يَشَاءُ
cukUro الذُّكُورَ
yuzawwijuhum يُزَوِّجُهُمْ
cukrOnaww ذُكْرَانًا
waeinAvaww وَإِنَاثًا
wayaJEalu وَيَجْعَلُ
EaqIman عَقِيمًا
yukallimahuL يُكَلِّمَهُ
waHyan وَحْيًا
HijAbin حِجَابٍ
fayUHiya فَيُوحِيَ
Ealiyyun عَلِيٌّ
rUHamm رُوحًا
eImAnu الْإِيمَانُ
nUronn نُورًا
nahdI نَهْدِي
latahdII لَتَهْدِي
taSIrul تَصِيرُ
eummil أُمِّ
laEaliyyun لَعَلِيٌّ
eafanaMribu أَفَنَضْرِبُ
EaNkumuc عَنْكُمُ
SofHan صَفْحًا
musrifIn مُسْرِفِينَ
faeahlaknAA فَأَهْلَكْنَا
baPXaww بَطْشًا
wamaMO وَمَضَىٰ
xolaqohunnal خَلَقَهُنَّ
faeaNXarnA فَأَنْشَرْنَا
tarkabUn تَرْكَبُونَ
litastawU لِتَسْتَوُوا
ZuhUrihI ظُهُورِهِ
tackurU تَذْكُرُوا
niEmata نِعْمَةَ
stawYtum اسْتَوَيْتُمْ
wataqUlU وَتَقُولُوا
muQrinIn مُقْرِنِينَ
lamuNqolibUn لَمُنْقَلِبُونَ
juzean جُزْءًا
lakafUrumm لَكَفُورٌ
banAtiww بَنَاتٍ
waeaSfAkummm وَأَصْفَاكُمْ
bilbanIn بِالْبَنِينَ
eawamayy أَوَمَنْ
yunaXXaeu يُنَشَّأُ
lHilyati الْحِلْيَةِ
xiSOmi الْخِصَامِ
wajaEalUl وَجَعَلُوا
malAAeikatal الْمَلَائِكَةَ
EibAdur عِبَادُ
eaXahidU أَشَهِدُوا
xolqohum خَلْقَهُمْ
satuktabu سَتُكْتَبُ
XahAdatuhum شَهَادَتُهُمْ
wayusealUn وَيُسْأَلُونَ
XAAear شَاءَ
EabaDnAhumm عَبَدْنَاهُمْ
bicAlika بِذَٰلِكَ
fahummm فَهُمْ
mustamsikUn مُسْتَمْسِكُونَ
eummatiww أُمَّةٍ
eAvArihimm آثَارِهِمْ
muQtadUn مُقْتَدُونَ
bieahdA بِأَهْدَىٰ
barOOeumm بَرَاءٌ
wajaEalahA وَجَعَلَهَا
kalimatammm كَلِمَةً
bAqiyataN بَاقِيَةً
EaqibihI عَقِبِهِ
mattaEtu مَتَّعْتُ
warosUlumm وَرَسُولٌ
siHruww سِحْرٌ
qoryatYni الْقَرْيَتَيْنِ
yaQsimUna يَقْسِمُونَ
qosamnA قَسَمْنَا
maEIXatahum مَعِيشَتَهُمْ
liyattaxica لِيَتَّخِذَ
suxriyyaww سُخْرِيًّا
waroHmatu وَرَحْمَتُ
yakUnan يَكُونَ
wAHidatal وَاحِدَةً
lajaEalnA لَجَعَلْنَا
libuyUtihim لِبُيُوتِهِمْ
suqufamm سُقُفًا
fiMMotiww فِضَّةٍ
wamaEArija وَمَعَارِجَ
yaZharUn يَظْهَرُونَ
walibuyUtihim وَلِبُيُوتِهِمْ
eaBwAbaww أَبْوَابًا
wasururon وَسُرُرًا
yattakieUn يَتَّكِئُونَ
wazuxrufaww وَزُخْرُفًا
yaEXu يَعْشُ
cikrir ذِكْرِ
nuqoyyiM نُقَيِّضْ
XYpOnaN شَيْطَانًا
layaSuddUnahum لَيَصُدُّونَهُمْ
buEdal بُعْدَ
maXriqVni الْمَشْرِقَيْنِ
qorIn الْقَرِينُ
nachabanna نَذْهَبَنَّ
nuriyannakal نُرِيَنَّكَ
waEaDnAhum وَعَدْنَاهُمْ
muQtadirUn مُقْتَدِرُونَ
fastamsik فَاسْتَمْسِكْ
lacikrul لَذِكْرٌ
waliqCmika وَلِقَوْمِكَ
waseal وَاسْأَلْ
rusulinAA رُسُلِنَا
eajaEalnA أَجَعَلْنَا
dUnir دُونِ
eAlihatayy آلِهَةً
yuEbadUn يُعْبَدُونَ
yaMHakUn يَضْحَكُونَ
nurIhimm نُرِيهِمْ
euxtihA أُخْتِهَا
waeaxocnAhummm وَأَخَذْنَاهُمْ
yAAeayyuhas يَاأَيُّهَ
sAHiruD السَّاحِرُ
wahAcihil وَهَٰذِهِ
taHtII تَحْتِي
mahInuww مَهِينٌ
yubIn يُبِينُ
easwirotumm أَسْوِرَةٌ
cahabin ذَهَبٍ
maEahul مَعَهُ
muQtarinIn مُقْتَرِنِينَ
fastaxoffa فَاسْتَخَفَّ
faeapOEUhu فَأَطَاعُوهُ
eAsafUnAN آسَفُونَا
taqomnA انْتَقَمْنَا
salafaww سَلَفًا
wamavalal وَمَثَلًا
lileAxirIn لِلْآخِرِينَ
MuribaB ضُرِبَ
yaSiddUn يَصِدُّونَ
eaeAlihatunA أَآلِهَتُنَا
MorobUhu ضَرَبُوهُ
jadalammm جَدَلًا
xoSimUn خَصِمُونَ
Eabdun عَبْدٌ
mavalal مَثَلًا
yaxlufUn يَخْلُفُونَ
laEilmul لَعِلْمٌ
lilssAEati لِلسَّاعَةِ
tamtarunna تَمْتَرُنَّ
wattabiEUni وَاتَّبِعُونِ
yaSuddannakumuX يَصُدَّنَّكُمُ
walieubayyina وَلِأُبَيِّنَ
taxtalifUna تَخْتَلِفُونَ
eillAs إِلَّا
taetiyahummm تَأْتِيَهُمْ
ealeaxillAAeu الْأَخِلَّاءُ
yWmaeicimmm يَوْمَئِذٍ
Eaduwwun عَدُوٌّ
euDxulUl ادْخُلُوا
tuHbarUn تُحْبَرُونَ
biSiHAfimm بِصِحَافٍ
waeakwAbiww وَأَكْوَابٍ
taXtahIhil تَشْتَهِيهِ
eaNfusu الْأَنْفُسُ
watalaccul وَتَلَذُّ
eaEyunu الْأَعْيُنُ
fAkihatuN فَاكِهَةٌ
kavIrotumm كَثِيرَةٌ
yufattaru يُفَتَّرُ
yAmAliku يَامَالِكُ
liyaQMi لِيَقْضِ
mAkivUn مَاكِثُونَ
jienAkummm جِئْنَاكُمْ
eaBromUU أَبْرَمُوا
muBrimUn مُبْرِمُونَ
nasmaEu نَسْمَعُ
wanaJwAhummm وَنَجْوَاهُمْ
warusulunA وَرُسُلُنَا
yaktubUn يَكْتُبُونَ
faeana فَأَنَا
EAbidIn الْعَابِدِينَ
wayalEabU وَيَلْعَبُوا
yulAqU يُلَاقُوا
yWmahumul يَوْمَهُمُ
watabArokal وَتَبَارَكَ
yamlikul يَمْلِكُ
dUnihiX دُونِهِ
waqIlihI وَقِيلِهِ
faSfaH فَاصْفَحْ
lYlatimm لَيْلَةٍ
mubArokatin مُبَارَكَةٍ
yufroqu يُفْرَقُ
eamrin أَمْرٍ
EiNdinAA عِنْدِنَا
Xakkiyy شَكٍّ
fartaqiB فَارْتَقِبْ
taetIs تَأْتِي
biduxOnimm بِدُخَانٍ
yagXan يَغْشَى
kXif اكْشِفْ
EannAl عَنَّا
lahumuc لَهُمُ
muEallamumm مُعَلَّمٌ
maJnUn مَجْنُونٌ
kAXifUl كَاشِفُو
EAAeidUn عَائِدُونَ
nabpiXul نَبْطِشُ
baPXatal الْبَطْشَةَ
kuBrOO الْكُبْرَىٰ
wajAAeahum وَجَاءَهُمْ
eaddUU أَدُّوا
warobbikum وَرَبِّكُمْ
tarjumUn تَرْجُمُونِ
faEtazilUn فَاعْتَزِلُونِ
fadaEA فَدَعَا
muJrimUn مُجْرِمُونَ
watrukil وَاتْرُكِ
rohwan رَهْوًا
wanaEmatiN وَنَعْمَةٍ
fAkihIn فَاكِهِينَ
bakat بَكَتْ
EAliyamm عَالِيًا
xtarnAhum اخْتَرْنَاهُمْ
mWtatunAl مَوْتَتُنَا
bimuNXarIn بِمُنْشَرِينَ
bieAbAAeinAA بِآبَائِنَا
tubbaEiww تُبَّعٍ
xolaQnAhumAA خَلَقْنَاهُمَا
mIqOtuhum مِيقَاتُهُمْ
mWlan مَوْلًى
mWlaN مَوْلًى
roHimaL رَحِمَ
Xajarotaz شَجَرَتَ
poEAmul طَعَامُ
eavIm الْأَثِيمِ
yaglI يَغْلِي
bupUn الْبُطُونِ
kagolyi كَغَلْيِ
xucUhu خُذُوهُ
faEtilUhu فَاعْتِلُوهُ
SubbU صُبُّوا
cuQ ذُقْ
karIm الْكَرِيمُ
maqOmin مَقَامٍ
eamIn أَمِينٍ
yalbasUna يَلْبَسُونَ
wazawwaJnAhummm وَزَوَّجْنَاهُمْ
biHUrin بِحُورٍ
EIn عِينٍ
fAkihatin فَاكِهَةٍ
yacUqUna يَذُوقُونَ
mWtatal الْمَوْتَةَ
wawaqOhum وَوَقَاهُمْ
murtaqibUn مُرْتَقِبُونَ
xolqikum خَلْقِكُمْ
yabuvvu يَبُثُّ
baEdaL بَعْدَ
wYlul وَيْلٌ
yuSirru يُصِرُّ
XYeaNt شَيْئًا
taxocahA اتَّخَذَهَا
warOOeihim وَرَائِهِمْ
litaJriyal لِتَجْرِيَ
yagfirU يَغْفِرُوا
eayyAmaL أَيَّامَ
liyaJziya لِيَجْزِيَ
waeAtYnAhummm وَآتَيْنَاهُمْ
bayyinAtimm بَيِّنَاتٍ
xtalafUU اخْتَلَفُوا
XarIEatimm شَرِيعَةٍ
fattabiEhA فَاتَّبِعْهَا
yugnU يُغْنُوا
lacInaJ الَّذِينَ
taroHUs اجْتَرَحُوا
naJEalahum نَجْعَلَهُمْ
maHyAhum مَحْيَاهُمْ
wamamAtuhum وَمَمَاتُهُمْ
waxolaqol وَخَلَقَ
walituJzA وَلِتُجْزَىٰ
waeaMollahuL وَأَضَلَّهُ
samEihI سَمْعِهِ
baSorihI بَصَرِهِ
giXAwataN غِشَاوَةً
yahdIhi يَهْدِيهِ
yuhlikunAA يُهْلِكُنَا
eillAd إِلَّا
dahru الدَّهْرُ
Hujjatahum حُجَّتَهُمْ
yaJmaEukum يَجْمَعُكُمْ
yaxsarul يَخْسَرُ
jAviyataN جَاثِيَةً
tuDEAA تُدْعَىٰ
kitAbihAl كِتَابِهَا
kitAbunA كِتَابُنَا
nastaNsixu نَسْتَنْسِخُ
fayuDxiluhum فَيُدْخِلُهُمْ
fastakbartum فَاسْتَكْبَرْتُمْ
wassAEatu وَالسَّاعَةُ
naDrI نَدْرِي
mAs مَا
naZunnu نَظُنُّ
Zonnaww ظَنًّا
bimustYqinIn بِمُسْتَيْقِنِينَ
waqIlal وَقِيلَ
naNsAkum نَنْسَاكُمْ
bieannakumut بِأَنَّكُمُ
taxoctum اتَّخَذْتُمْ
wagorrotkumu وَغَرَّتْكُمُ
yuxrojUna يُخْرَجُونَ
warobbil وَرَبِّ
eavArotimm أَثَارَةٍ
yastajIbu يَسْتَجِيبُ
duEAAeihim دُعَائِهِمْ
HuXiron حُشِرَ
eaEdAAeaww أَعْدَاءً
biDEamm بِدْعًا
yufEalu يُفْعَلُ
wakafartummm وَكَفَرْتُمْ
wastakbartum وَاسْتَكْبَرْتُمْ
sabaqUnAA سَبَقُونَا
yahtadU يَهْتَدُوا
qodIm قَدِيمٌ
lisAnan لِسَانًا
liyuNcirol لِيُنْذِرَ
kurhaww كُرْهًا
wawaMoEathu وَوَضَعَتْهُ
waHamluhU وَحَمْلُهُ
valAvUna ثَلَاثُونَ
Xahron شَهْرًا
wabalago وَبَلَغَ
sanataN سَنَةً
curriyyatII ذُرِّيَّتِي
nataqobbalu نَتَقَبَّلُ
wanatajAwazu وَنَتَجَاوَزُ
waEdaS وَعْدَ
Sidqil الصِّدْقِ
liwAlidYhi لِوَالِدَيْهِ
eataEidAninII أَتَعِدَانِنِي
euxroja أُخْرَجَ
xolatil خَلَتِ
qurUnu الْقُرُونُ
wahumA وَهُمَا
yastagIvAnil يَسْتَغِيثَانِ
wYlaka وَيْلَكَ
eAmin آمِنْ
waliyuwaffiyahum وَلِيُوَفِّيَهُمْ
yuEroMul يُعْرَضُ
eachaBtum أَذْهَبْتُمْ
poyyibAtikum طَيِّبَاتِكُمْ
HayAtikumud حَيَاتِكُمُ
wastamtaEtummm وَاسْتَمْتَعْتُمْ
tastakbirUna تَسْتَكْبِرُونَ
tafsuqUn تَفْسُقُونَ
eaxO أَخَا
eaNcaro أَنْذَرَ
bileaHqOfi بِالْأَحْقَافِ
xolatin خَلَتِ
nucuru النُّذُرُ
xolfihII خَلْفِهِ
litaefikanA لِتَأْفِكَنَا
waeuballigukumm وَأُبَلِّغُكُمْ
roeWhu رَأَوْهُ
EAriMomm عَارِضًا
mustaqbila مُسْتَقْبِلَ
eWdiyatihim أَوْدِيَتِهِمْ
EAriMumm عَارِضٌ
mumpirunA مُمْطِرُنَا
staEjaltummm اسْتَعْجَلْتُمْ
rIHuN رِيحٌ
tudammiru تُدَمِّرُ
yurOO يُرَىٰ
samEaww سَمْعًا
waeaBSOroww وَأَبْصَارًا
waeafeidataN وَأَفْئِدَةً
eafeidatuhumm أَفْئِدَتُهُمْ
yaJHadUna يَجْحَدُونَ
waSorrofnAl وَصَرَّفْنَا
naSorohumul نَصَرَهُمُ
qurbAnan قُرْبَانًا
eAlihatammm آلِهَةً
eifkuhum إِفْكُهُمْ
SorofnAA صَرَفْنَا
nafaromm نَفَرًا
HaMorUhu حَضَرُوهُ
eaNSitU أَنْصِتُوا
qCmihimm قَوْمِهِمْ
yAqCmanAA يَاقَوْمَنَا
kitAban كِتَابًا
porIqimm طَرِيقٍ
eajIbU أَجِيبُوا
dAEiyaL دَاعِيَ
yagfir يَغْفِرْ
wayujirkumm وَيُجِرْكُمْ
yujiB يُجِبْ
bimuEjiziN بِمُعْجِزٍ
yaEya يَعْيَ
bixolqihinna بِخَلْقِهِنَّ
yuHyiyal يُحْيِيَ
Eazmi الْعَزْمِ
tastaEjil تَسْتَعْجِلْ
nahArimmm نَهَارٍ
balAguN بَلَاغٌ
muHammadiww مُحَمَّدٍ
kaffaro كَفَّرَ
bAlahum بَالَهُمْ
bieannal بِأَنَّ
kafarUt كَفَرُوا
tabaEUl اتَّبَعُوا
eamvAlahum أَمْثَالَهُمْ
faMorbar فَضَرْبَ
eavxoNtumUhum أَثْخَنْتُمُوهُمْ
faXuddUl فَشُدُّوا
wavAqo الْوَثَاقَ
mannammm مَنًّا
fidAAean فِدَاءً
taMoEa تَضَعَ
lHarbu الْحَرْبُ
eWzArohA أَوْزَارَهَا
laNtaSoro لَانْتَصَرَ
liyaBluwa لِيَبْلُوَ
yuMilla يُضِلَّ
sayahdIhim سَيَهْدِيهِمْ
wayuSliHu وَيُصْلِحُ
wayuDxiluhumul وَيُدْخِلُهُمُ
EarrofahA عَرَّفَهَا
taNSurUL تَنْصُرُوا
yaNSurkum يَنْصُرْكُمْ
wayuvabbit وَيُثَبِّتْ
eaqdAmakum أَقْدَامَكُمْ
fataEsal فَتَعْسًا
karihU كَرِهُوا
faeaHbapo فَأَحْبَطَ
dammarol دَمَّرَ
eamvAluhA أَمْثَالُهَا
mWlal مَوْلَى
mWlA مَوْلَىٰ
yatamattaEUna يَتَمَتَّعُونَ
wayaekulUna وَيَأْكُلُونَ
taekulul تَأْكُلُ
wannAru وَالنَّارُ
quwwatamm قُوَّةً
qoryatikal قَرْيَتِكَ
eaxrojatka أَخْرَجَتْكَ
nASiro نَاصِرَ
eanhArumm أَنْهَارٌ
mAAein مَاءٍ
eAsiniww آسِنٍ
waeanhArumm وَأَنْهَارٌ
labanil لَبَنٍ
yatagoyyar يَتَغَيَّرْ
poEmuhU طَعْمُهُ
xomril خَمْرٍ
lilXXAribIna لِلشَّارِبِينَ
Easalimm عَسَلٍ
muSoffaww مُصَفًّى
wamagfirotumm وَمَغْفِرَةٌ
xOliduN خَالِدٌ
wasuqU وَسُقُوا
HamImaN حَمِيمًا
faqoppoEa فَقَطَّعَ
eamEAAeahum أَمْعَاءَهُمْ
eAnifan آنِفًا
waeAtAhum وَآتَاهُمْ
taQwAhum تَقْوَاهُمْ
eaXrOpuhA أَشْرَاطُهَا
cikrOhum ذِكْرَاهُمْ
mutaqollabakum مُتَقَلَّبَكُمْ
wamavwAkum وَمَثْوَاكُمْ
nuzzilat نُزِّلَتْ
sUrotumm سُورَةٌ
muHkamatuww مُحْكَمَةٌ
wacukiro وَذُكِرَ
naZorol نَظَرَ
magXiyyi الْمَغْشِيِّ
faeWlA فَأَوْلَىٰ
pOEatuww طَاعَةٌ
waqClumm وَقَوْلٌ
maErUfuN مَعْرُوفٌ
Eazamal عَزَمَ
SodaqUL صَدَقُوا
watuqoppiEUU وَتُقَطِّعُوا
earHAmakum أَرْحَامَكُمْ
faeaSommahum فَأَصَمَّهُمْ
waeaEmAA وَأَعْمَىٰ
qulUbin قُلُوبٍ
eaQfAluhAA أَقْفَالُهَا
rtaddU ارْتَدُّوا
eadbArihimm أَدْبَارِهِمْ
hudaX الْهُدَى
sawwala سَوَّلَ
waeamlA وَأَمْلَىٰ
sanupIEukum سَنُطِيعُكُمْ
eisrOrohum إِسْرَارَهُمْ
tawaffathumul تَوَفَّتْهُمُ
bieannahumut بِأَنَّهُمُ
easxopol أَسْخَطَ
wakarihU وَكَرِهُوا
yuxrijaL يُخْرِجَ
eaMgOnahum أَضْغَانَهُمْ
laearVnAkahum لَأَرَيْنَاكَهُمْ
falaEaroftahummm فَلَعَرَفْتَهُمْ
walataErifannahum وَلَتَعْرِفَنَّهُمْ
laHnil لَحْنِ
walanaBluwannakum وَلَنَبْلُوَنَّكُمْ
naElamal نَعْلَمَ
wanaBluwa وَنَبْلُوَ
eaxbArokum أَخْبَارَكُمْ
waXAAAqqUr وَشَاقُّوا
wasayuHbipu وَسَيُحْبِطُ
tubpilUU تُبْطِلُوا
wataDEUU وَتَدْعُوا
salmi السَّلْمِ
yatirokum يَتِرَكُمْ
yasealkum يَسْأَلْكُمْ
eamwAlakum أَمْوَالَكُمْ
yasealkumUhA يَسْأَلْكُمُوهَا
fayuHfikum فَيُحْفِكُمْ
taBxolU تَبْخَلُوا
wayuxriJ وَيُخْرِجْ
eaMgOnakum أَضْغَانَكُمْ
lituNfiqU لِتُنْفِقُوا
famiNkumm فَمِنْكُمْ
yaBxolu يَبْخَلُ
yaBxol يَبْخَلْ
yastabdil يَسْتَبْدِلْ
yakUnUU يَكُونُوا
eamvAlakum أَمْثَالَكُمْ
fatHamm فَتْحًا
lakaL لَكَ
taqoddama تَقَدَّمَ
cammmbika ذَنْبِكَ
wayutimma وَيُتِمَّ
wayahdiyaka وَيَهْدِيَكَ
wayaNSurokaL وَيَنْصُرَكَ
naSron نَصْرًا
eaNzalas أَنْزَلَ
sakInata السَّكِينَةَ
eImAnamm إِيمَانًا
junUdus جُنُودُ
liyuDxilal لِيُدْخِلَ
wayukaffiro وَيُكَفِّرَ
walmuXrikAtiZ وَالْمُشْرِكَاتِ
ZOOOnnIna الظَّانِّينَ
Zonnas ظَنَّ
walaEanahum وَلَعَنَهُمْ
litueminU لِتُؤْمِنُوا
watuEazzirUhu وَتُعَزِّرُوهُ
watuwaqqirUhu وَتُوَقِّرُوهُ
watusabbiHUhu وَتُسَبِّحُوهُ
yubAyiEUnaka يُبَايِعُونَكَ
yubAyiEUnaL يُبَايِعُونَ
famann فَمَنْ
nakava نَكَثَ
yaNkuvu يَنْكُثُ
EAhada عَاهَدَ
EalYhuL عَلَيْهُ
fasayuetIhi فَسَيُؤْتِيهِ
sayaqUlu سَيَقُولُ
XagolatnAA شَغَلَتْنَا
eamwAlunA أَمْوَالُنَا
waeahlUnA وَأَهْلُونَا
fastagfir فَاسْتَغْفِرْ
biealsinatihimm بِأَلْسِنَتِهِمْ
nafEammm نَفْعًا
xobIrom خَبِيرًا
yaNqolibar يَنْقَلِبَ
eahlIhim أَهْلِيهِمْ
wazuyyina وَزُيِّنَ
waZonaNtum وَظَنَنْتُمْ
faeinnAA فَإِنَّا
polaQtum انْطَلَقْتُمْ
magOnima مَغَانِمَ
litaexucUhA لِتَأْخُذُوهَا
carUnA ذَرُونَا
nattabiEkum نَتَّبِعْكُمْ
yubaddilU يُبَدِّلُوا
tattabiEUnA تَتَّبِعُونَا
kacAlikum كَذَٰلِكُمْ
taHsudUnanA تَحْسُدُونَنَا
lilmuxollafIna لِلْمُخَلَّفِينَ
satuDEWna سَتُدْعَوْنَ
tuqOtilUnahum تُقَاتِلُونَهُمْ
yuslimUna يُسْلِمُونَ
yuetikumuL يُؤْتِكُمُ
yatawalla يَتَوَلَّ
yuEacciBhu يُعَذِّبْهُ
taHtaX تَحْتَ
faEalima فَعَلِمَ
faeaNzalas فَأَنْزَلَ
waeavAbahum وَأَثَابَهُمْ
fatHaN فَتْحًا
wamagOnima وَمَغَانِمَ
kavIrotayy كَثِيرَةً
yaexucUnahA يَأْخُذُونَهَا
waEadakumuL وَعَدَكُمُ
kavIrotaN كَثِيرَةً
taexucUnahA تَأْخُذُونَهَا
faEajjala فَعَجَّلَ
wakaffa وَكَفَّ
eYdiyan أَيْدِيَ
walitakUna وَلِتَكُونَ
eaHApol أَحَاطَ
qOtalakumul قَاتَلَكُمُ
lawallawul لَوَلَّوُا
kaffa كَفَّ
Eanhummm عَنْهُمْ
bibaPni بِبَطْنِ
makkata مَكَّةَ
eaZfarokum أَظْفَرَكُمْ
waSoddUkum وَصَدُّوكُمْ
maEkUfan مَعْكُوفًا
rijAlumm رِجَالٌ
wanisAAeumm وَنِسَاءٌ
mueminAtul مُؤْمِنَاتٌ
taElamUhum تَعْلَمُوهُمْ
tapoeUhum تَطَئُوهُمْ
fatuSIbakumm فَتُصِيبَكُمْ
maEarrotummm مَعَرَّةٌ
liyuDxilaL لِيُدْخِلَ
tazayyalU تَزَيَّلُوا
laEaccaBnAl لَعَذَّبْنَا
qulUbihimu قُلُوبِهِمُ
lHamiyyata الْحَمِيَّةَ
Hamiyyatal حَمِيَّةَ
waealzamahum وَأَلْزَمَهُمْ
kalimatat كَلِمَةَ
eaHaqqo أَحَقَّ
waeahlahA وَأَهْلَهَا
rosUlahur رَسُولَهُ
rueyA الرُّؤْيَا
lataDxulunnal لَتَدْخُلُنَّ
eAminIna آمِنِينَ
muHalliqIna مُحَلِّقِينَ
wamuqoSSirIna وَمُقَصِّرِينَ
fajaEala فَجَعَلَ
muHammadur مُحَمَّدٌ
eaXiddAAeu أَشِدَّاءُ
ruHamAAeu رُحَمَاءُ
tarOhum تَرَاهُمْ
rukkaEaN رُكَّعًا
sujjadayy سُجَّدًا
wariMwAnaN وَرِضْوَانًا
sImAhum سِيمَاهُمْ
wujUhihimm وُجُوهِهِمْ
eavaris أَثَرِ
sujUdi السُّجُودِ
wamavaluhum وَمَثَلُهُمْ
kazarEin كَزَرْعٍ
XaPeahU شَطْأَهُ
faeAzarohU فَآزَرَهُ
fastaglaZo فَاسْتَغْلَظَ
fastawA فَاسْتَوَىٰ
sUqihI سُوقِهِ
yuEjibuz يُعْجِبُ
zurrOEa الزُّرَّاعَ
liyagIZo لِيَغِيظَ
EaZImam عَظِيمًا
yadayil يَدَيِ
tarfaEUU تَرْفَعُوا
eaSwAtakum أَصْوَاتَكُمْ
SCtin صَوْتِ
taJharU تَجْهَرُوا
kajahri كَجَهْرِ
baEMikum بَعْضِكُمْ
taHbapo تَحْبَطَ
yaguMMUna يَغُضُّونَ
eaSwAtahum أَصْوَاتَهُمْ
lacInam الَّذِينَ
taHanaL امْتَحَنَ
yunAdUnaka يُنَادُونَكَ
lHujurOti الْحُجُرَاتِ
taxruja تَخْرُجَ
fAsiqummm فَاسِقٌ
binabaeiN بِنَبَإٍ
tuSIbU تُصِيبُوا
fatuSbiHU فَتُصْبِحُوا
faEaltum فَعَلْتُمْ
yupIEukum يُطِيعُكُمْ
laEanittum لَعَنِتُّمْ
Habbaba حَبَّبَ
eImAna الْإِيمَانَ
wazayyanahU وَزَيَّنَهُ
wakarroha وَكَرَّهَ
walfusUqo وَالْفُسُوقَ
walEiSyAna وَالْعِصْيَانَ
humur هُمُ
rOXidUn الرَّاشِدُونَ
waniEmataww وَنِعْمَةً
mueminInaQ الْمُؤْمِنِينَ
faeaSliHU فَأَصْلِحُوا
faeimmm فَإِنْ
bagot بَغَتْ
faqOtilUl فَقَاتِلُوا
taBgI تَبْغِي
tafIIea تَفِيءَ
fAAeat فَاءَتْ
waeaQsipUU وَأَقْسِطُوا
eaxowYkum أَخَوَيْكُمْ
yasxor يَسْخَرْ
nisAAeumm نِسَاءٌ
nisAAein نِسَاءٍ
yakunna يَكُنَّ
talmizUU تَلْمِزُوا
tanAbazU تَنَابَزُوا
bilealqObi بِالْأَلْقَابِ
lismul الِاسْمُ
fusUqu الْفُسُوقُ
yatuB يَتُبْ
eAmanUJ آمَنُوا
tanibU اجْتَنِبُوا
eivmuww إِثْمٌ
tajassasU تَجَسَّسُوا
yagtaB يَغْتَبْ
eayuHibbu أَيُحِبُّ
yaekula يَأْكُلَ
fakarihtumUhu فَكَرِهْتُمُوهُ
cakariww ذَكَرٍ
waeuNvA وَأُنْثَىٰ
XuEUbaww شُعُوبًا
waqobAAeila وَقَبَائِلَ
litaEArofUU لِتَعَارَفُوا
eakromakum أَكْرَمَكُمْ
eatqOkum أَتْقَاكُمْ
eaErObu الْأَعْرَابُ
easlamnA أَسْلَمْنَا
yaDxulil يَدْخُلِ
tupIEUL تُطِيعُوا
yalitkumm يَلِتْكُمْ
eaEmAlikum أَعْمَالِكُمْ
yartAbU يَرْتَابُوا
humuS هُمُ
SOdiqUn الصَّادِقُونَ
eatuEallimUnaL أَتُعَلِّمُونَ
bidInikum بِدِينِكُمْ
yamunnUna يَمُنُّونَ
tamunnU تَمُنُّوا
eislAmakummm إِسْلَامَكُمْ
walqureAnil وَالْقُرْآنِ
majID الْمَجِيدِ
EajibUU عَجِبُوا
turObaN تُرَابًا
roJEummm رَجْعٌ
taNquSul تَنْقُصُ
waEiNdanA وَعِنْدَنَا
marIJ مَرِيجٍ
yaNZurUU يَنْظُرُوا
banYnAhA بَنَيْنَاهَا
furUJ فُرُوجٍ
taBSirotaww تَبْصِرَةً
mAAeamm مَاءً
mubArokaN مُبَارَكًا
waHabba وَحَبَّ
lHaSID الْحَصِيدِ
bAsiqOtil بَاسِقَاتٍ
polEunn طَلْعٌ
naMID نَضِيدٌ
lilEibAdi لِلْعِبَادِ
waeaHyYnA وَأَحْيَيْنَا
kacAlikal كَذَٰلِكَ
xurUJ الْخُرُوجُ
waeaSHAbur وَأَصْحَابُ
waeixwAnu وَإِخْوَانُ
tubbaEiN تُبَّعٍ
eafaEayInA أَفَعَيِينَا
bilxolqil بِالْخَلْقِ
eawwali الْأَوَّلِ
laBsimm لَبْسٍ
wanaElamu وَنَعْلَمُ
tuwaswisu تُوَسْوِسُ
HaBlil حَبْلِ
warID الْوَرِيدِ
yatalaqqVl يَتَلَقَّى
mutalaqqiyAni الْمُتَلَقِّيَانِ
waEaniX وَعَنِ
qoEID قَعِيدٌ
yalfiZu يَلْفِظُ
qClin قَوْلٍ
roqIbun رَقِيبٌ
EatID عَتِيدٌ
sakrotul سَكْرَةُ
taHID تَحِيدُ
maEahA مَعَهَا
sAAeiquww سَائِقٌ
waXahID وَشَهِيدٌ
gipOOeaka غِطَاءَكَ
fabaSorukal فَبَصَرُكَ
HadID حَدِيدٌ
qorInuhU قَرِينُهُ
ladayya لَدَيَّ
ealqiyA أَلْقِيَا
mannAEil مَنَّاعٍ
lilxVri لِلْخَيْرِ
muEtadimm مُعْتَدٍ
faealqiyAhu فَأَلْقِيَاهُ
EacAbiX الْعَذَابِ
XadID الشَّدِيدِ
eaPgVtuhU أَطْغَيْتُهُ
